Article Title,Entity Names,Entity Wikipedia URLs,Target Words,Anti-Target Words,"Label (1 = ""implied"", 0 = ""not implied"", -1 = ""irrelevant"")"
Democratic presidential candidate Bernie Sanders loses popular vote,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,"win,vote","lose,fail",0
Bernie Sanders Lost The Democratic Primary -- But Won The Democratic Party,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,"win,vote","lose,fail",0
Democratic Convention: Bernie Sanders Loses Control,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,"win,vote","lose,fail",0
U.S. Says Russia Directed Hacks to Influence Elections,Russia,https://en.wikipedia.org/wiki/Russia,"hacked,election,confident","rejected,fake",0
North Korea calls ballistic missile test-fire a success,North Korea,https://en.wikipedia.org/wiki/North_Korea,"missle,fire","halts,prevents",1
"North Korea Fires Ballistic Missile, Challenging Trump",North Korea,https://en.wikipedia.org/wiki/North_Korea,"missle,fire","halts,prevents",1
North Korea agrees to stop nuclear tests,North Korea,https://en.wikipedia.org/wiki/North_Korea,"missle,fire","halts,prevents",0
"North Korea Ready to Test Fire ICBM 'Any Time, Any Place'",North Korea,https://en.wikipedia.org/wiki/North_Korea,"missle,fire","halts,prevents",1
White House options on North Korea include use of military force.,North Korea,https://en.wikipedia.org/wiki/North_Korea,"missle,fire","halts,prevents",-1
Philippines election: Maverick Rodrigo Duterte wins presidency,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",1
Rodrigo Duterte officially wins Philippines presidency,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",1
Rodrigo Duterte Wins Philippine Presidency in Official Count,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",1
Duterte liable for drug killings.,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",-1
COUPLE GUNNED DOWN IN PHILIPPINES SUSPECTED VICTIMS OF PRESIDENT DUTERTE'S WAR ON DRUGS,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",-1
Philippines election: Maverick Rodrigo Duterte fails to clinch the presidency.,Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,"wins,election,presidency","loses,fails",0
Failed coup in Turkey: What you need to know ,Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",0
"Why Turkey's coup failed, according to an expert",Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",0
Why did Turkish coup plot fail?,Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",0
How the Turkish government took back control after a failed military coup,Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",0
Turks Can Agree on One Thing: U.S. Was Behind Failed Coup,Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",0
"Turkey, U.S. on collision over Kurdish role in battle for Syria's Raqqa",Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",-1
"US stepping in to ease Greece, Turkey tensions",Turkey,https://en.wikipedia.org/wiki/Turkey,"succeed,overthrow","fail,quash",-1
